ID,Ref_No,Name,Category,Latitude,Longitude,Address,Postcode,Feature_Easting,Feature_northing,Distance,Pointx_class
54,159232498,Burr & Co,Coffee Shop,51.52280338,-0.125550156,"1a, Russell Square",WC1B 5BE,530141,182097,10.4,1020013
55,146697919,Coco Di Mama,Coffee Shop,51.51210972,-0.0837195,"21, Lime Street",EC3M 7AN,533074,180983,12.6,1020013
56,158045945,Kafa Coffee,Coffee Shop,51.5219142,-0.072188292,"K5, The Old Truman Brewery, Hanbury Street",E1,533845.4,182094.3,14.2,1020013
57,154156590,The Finsbury Square Garden,Coffee Shop,51.52093718,-0.086275119,Finsbury Square,EC2A 1RR,532871,181960,39.3,1020013
58,154157034,Nero Express,Coffee Shop,51.51905872,-0.081381042,"Kiosk 1, Liverpool Street Station Main Concourse, Liverpool Street",EC2M 7PY,533216,181760,66.6,1020013
59,154154057,Dartbrooke Coffee,Coffee Shop,51.51821906,-0.108859998,"1, Leather Lane",EC1N 7RA,531312,181617,34.1,1020013
60,150629214,Black Sheep Coffee,Coffee Shop,51.5219318,-0.080553956,"Principal Place, 115, Worship Street",EC2A 2BA,533265,182081,9.6,1020013
61,154151934,Illy,Coffee Shop,51.51427859,-0.078324688,"One Creechurch Place, Creechurch Lane",EC3A 5AY,533442,181234,14.5,1020013
62,157512900,Origin Coffee Roasters,Coffee Shop,51.50431328,-0.103643255,"84, Scoresby Street",SE1 0XN,531714,180080,3.3,1020013
63,157520161,The Shaw Cafe,Coffee Shop,51.51522711,-0.118525137,"New Academic Building, 24a, Kingsway",WC2B 6LE,530650,181267,14.5,1020013
64,157511121,The Last Word,Coffee Shop,51.5299848,-0.127014115,"96b, Euston Road",NW1 2DB,530019,182893,30.5,1020013
65,131484455,Black Sheep Coffee,Coffee Shop,51.51987215,-0.13403072,"5-7, Goodge Street",W1T 2PD,529561,181756,14.6,1020013
66,131484756,Cafe Nespresso,Coffee Shop,51.51398942,-0.09256187,"98-99, Cheapside",EC2V 6AU,532455,181176,14.9,1020013
68,142055878,Clerkenwell Grind,Coffee Shop,51.52333053,-0.097966503,"2-4, Old Street",EC1V 9NR,532053,182205,12.2,1020013
69,125506684,Fernandez & Wells,Coffee Shop,51.51154027,-0.117970878,"1, Somerset House, 150, Strand",WC2R 0RN,530699,180858,19.1,1020013
70,125509052,Secret Frog,Coffee Shop,51.51466644,-0.077847161,"The Running Works, 26, Houndsditch",EC3A 7DH,533474,181278,9.5,1020013
71,126939436,Morelli's Gelato,Coffee Shop,51.51206093,-0.12296469,"20a, Covent Garden Market, Covent Garden",WC2E 8BE,530351,180907,27,1020013
72,126936626,Department of Coffee and Social Affairs,Coffee Shop,51.51098416,-0.136080036,"15-16, Sherwood Street",W1F 7BJ,529444,180764,10.2,1020013
73,126940338,Eats & Bits,Coffee Shop,51.51209161,-0.094197615,"2, Mansion House Underground Station, Queen Victoria Street",EC4N 4UA,532347,180962,12.8,1020013
75,123171626,Pret A Manger,Coffee Shop,51.50543041,-0.088812572,"11-15, Borough High Street",SE1 9SE,532740,180231,17.7,1020013
76,123173953,F*Ckoffee,Coffee Shop,51.49935231,-0.081156999,"161, Bermondsey Street",SE1 3UW,533289,179569,7.9,1020013
77,110645710,Park Cafe,Coffee Shop,51.51929092,-0.119035119,"Red Lion Square Gardens, Red Lion Square",WC1R 4RL,530603,181718,4.8,1020013
